trader,cash,redeemed_shares
trader-00,268.66,17
trader-01,781.99,0
trader-02,781.18,0
trader-03,783.71,0
trader-04,774.27,0
trader-05,283.49,16
trader-06,741.72,0
trader-07,791.25,0
trader-08,340.06,15
trader-09,736.9,0
trader-10,746.21,0
trader-11,754.91,0
